"title","company","location","salary","workType","description","link","source"
"Entry Level Software Engineer","Emonics LLC","Dallas, TX","N/A","N/A","Job Overview:We are looking for an Entry Level Software Engineer to design, develop, and maintain scalable applications.Responsibilities:Write clean and efficient codeDebug and troubleshoot software issuesParticipate in agile development cyclesCollaborate with cross-functional teamsRequirements:Degree in Computer Science or related fieldKnowledge of Java, Python, or C++Understanding of SDLC","https://www.linkedin.com/jobs/view/entry-level-software-engineer-at-emonics-llc-4395466083?position=1&pageNum=0&refId=oNqv25NdCnLTzFIW4s02BQ%3D%3D&trackingId=FqW8rDAYhJxb3IoNFJs2vg%3D%3D","LinkedIn"
"Entry Level Software Engineer","Emonics LLC","Dallas, TX","N/A","N/A","Job Overview:Seeking an enthusiastic Software Engineer to develop reliable applications supporting enterprise systems.Responsibilities:Develop and test software applicationsMaintain system documentationTroubleshoot and fix bugsWork in agile teamsRequirements:Bachelor’s degree in Computer Science or relatedKnowledge of object-oriented programmingStrong communication skills","https://www.linkedin.com/jobs/view/entry-level-software-engineer-at-emonics-llc-4395450356?position=2&pageNum=0&refId=oNqv25NdCnLTzFIW4s02BQ%3D%3D&trackingId=ZpCQJtXp5oNUx4CPhlJv%2FQ%3D%3D","LinkedIn"
"Data Scientist","Persistent Systems","Dallas, TX","N/A","N/A","About PersistentWe are an AI-led, platform-driven Digital Engineering and Enterprise Modernization partner, combining deep technical expertise and industry experience to help our clients anticipate what’s next. Our offerings and proven solutions create a unique competitive advantage for our clients by giving them the power to see beyond and rise above. We work with many industry-leading organizations across the world, including 20 Fortune 50 companies and 4 of the 5 top banks in both the US and India, and numerous innovators across the healthcare ecosystem.Our disruptor’s mindset, commitment to client success, and agility to thrive in the dynamic environment have enabled us to sustain our growth momentum. Persistent has been recognized across top industry platforms for innovation, leadership, and inclusion. We have delivered 23 sequential quarters of growth with $422.5M in Q3 FY26 revenue, up 4.0% Q-o-Q and 17.3% Y-o-Y growth. Our 26,500+ global team members, located in 18 countries, have been instrumental in helping the market leaders transform their industries. We won the 2025 ISG Star of Excellence™ Award for AI and Data Excellence and were named a Leader in the Everest Group Talent Readiness for Next-generation Data, Analytics and AI Services PEAK Matrix® Assessment 2025.About PositionRole:Data ScientistLocation:RemoteExperience:8+ yearsJob Type:Full TimeMandatory Skills:Data Science, Python, NumPy, PandasWe are seeking an Data Scientist who is a problem solver, data expert, analyst, and communicator, who can create new algorithms from scratch. You have an advanced degree in a quantitative field, such as computer science, engineering, physics, statistics or applied mathematics, and have:Expertise You'll BringFamiliarity with statistical and data-mining techniquesStrong knowledge of programming languages, with a focus on machine learning and advanced analytics (such as R, Python, and Scala)Experience working with large data sets and relational databasesA collaborative spirit and the ability to communicate complex ideas effectively to both colleagues and clientsExcellent problem-solving skills and the ability to analyze issues, identify causes, and recommend solutions quicklyBenefitsCompetitive salary and benefits packageCulture focused on talent development with quarterly promotion cycles and company-sponsored higher education and certificationsOpportunity to work with cutting-edge technologiesEmployee engagement initiatives such as project parties, flexible work hours, and Long Service awardsAnnual health check-upsInsurance coverage: group term life, personal accident, and Mediclaim hospitalization for self, spouse, two children, and parentsOur company fosters a values-driven and people-centric work environment that enables our employees to:Accelerate growth, both professionally and personallyImpact the world in powerful, positive ways, using the latest technologiesEnjoy collaborative innovation, with diversity and work-life wellbeing at the coreUnlock global opportunities to work and learn with the industry’s bestLet’s unleash your full potential at Persistent- persistent.com/careersFor more details, please contactBharath Veluru (bharath_veluru@persistent.com)“Persistent is an Equal Opportunity Employer and prohibits discrimination and harassment of any kind.”","https://www.linkedin.com/jobs/view/data-scientist-at-persistent-systems-4391941030?position=3&pageNum=0&refId=oNqv25NdCnLTzFIW4s02BQ%3D%3D&trackingId=mtkoVLYNs%2FHeNv3FS8%2F3GA%3D%3D","LinkedIn"
"Software Engineer (Python)","Axelon Services Corporation","Irving, TX","$67.00/hr - $71.00/hr","N/A","Pay Rate:$67.00 - $71.00 Negotiable based upon years of experienceSummaryLocation: Irving, TXWork Mode: HybridResponsibilitiesDesign, architect, and implement robust Python-based solutions.Collaborate with global Technology Teams across different time zones in a hybrid work model.Adhere to Object-Oriented Programming (OOPS) principle-based development standards.Mentor and coach junior level developers.Drive resolutions of high-impact problems/projects through in-depth evaluation of complex business processes, system processes, and industry standards.Ensure application design adheres to the overall architecture blueprint.Utilize knowledge of system flow to develop standards for coding, testing, debugging, and implementation.Provide comprehensive in-depth analysis with interpretive thinking to define issues and develop innovative solutions.Implement Unit Testing and TDD to ensure software quality and maintainability.Assess risk when business decisions are made, demonstrating consideration for the firm's reputation and safeguarding its clients and assets by driving compliance with applicable laws, rules, and regulations.RequirementsBachelor's degree in Computer Science, Data Science, Statistics, Mathematics, Engineering, or related field.3-5 years of experience with developing scalable and reliable machine learning systems for training, inference, monitoring, and iteration.Exposure to ML/DL/LLM algorithms, model architectures, and training techniques.Proficiency in Python and related modules (e.g., numpy, pandas).Proficiency utilizing LLMs.Ability to work independently and collaboratively within a team.Preferred SkillsExperience in GenAI/LLMs projects.Familiarity with distributed data/computing tools (e.g., Hadoop, Hive, Spark, MySQL).Background in financial business-like banking, risk management.Experience with AI Dev tools such as Copilot.","https://www.linkedin.com/jobs/view/software-engineer-python-at-axelon-services-corporation-4395451329?position=4&pageNum=0&refId=oNqv25NdCnLTzFIW4s02BQ%3D%3D&trackingId=Ei%2BCkhpX0gv0gY632ajP3g%3D%3D","LinkedIn"
"Data Scientist","Gartner","Irving, TX","N/A","N/A","About This RoleIn Gartner’s Services Data Science team, we innovate the way our team helps clients receive value, so technology leaders will be able to make smarter decisions in a different way.We are searching for a talented data scientist to join our team. You will have access to the best facilities, technology and expertise within the industry and will work on challenging business problems. This is an excellent opportunity to be part of a new venture, in a start-up environment where you can truly develop your skill set and knowledge and bring impact to the team.What You’ll DoDesigning and implementing state of the art Large Language Model (LLM) based agents that seamlessly synthesize complex information and initiate important actions in a business workflow.Using advanced Generative AI techniques deriving actionable insights from unstructured text data, such as call transcripts and emails.Predicting client interest basis their digital footprint and making relevant recommendations to drive higher client value deliveryLeverage statistical and machine learning techniques to extract actionable insights from client retention data.Develop customer churn prediction models that proactively identify at-risk clients,Build tools to process structured and unstructured dataEngineering features and signals to train ML model from diverse data collectionWhat You’ll NeedBS required/ MS/ preferred; in Computer Science or other technology, Math, Physics, Statistics or Economics (focus on Natural Language Processing, Information Retrieval a plus)4 years’ experience in data science methodologies as applied to live initiatives or software development// Experience working with Gen AI projectsMinimum 4+ years of experience in python coding and statistical analysisMinimum 2 years working experience in several of the following:Prompt Engineering and working with LLMsMachine Learning and statistical techniquesData mining and recommendation systemsNatural Language Processing and Information RetrievalExperience working with large volumes of dataUser behavior modelingWho You AreA team player. You get along well with your colleagues and are always ready to help get things done. You enjoy working on projects with multiple people and share knowledge.Passionate about learning. You thrive on complex technical challenges and are always eager to learn the latest technologies.Organized and detailed-oriented. You think ahead of time about how best to implement new features, and your code is clean, well-organized and properly documented.Innovative. You are always proactively looking for opportunities to problem solve using innovative methods that impact the businessWhat we offerA collaborative, positive culture. You’ll work with people who are as enthusiastic, smart and driven as you are. You’ll be managed by the best too.Limitless growth and learning opportunities. We offer the excitement of a fast-paced entrepreneurial workplace and the professional growth opportunities of an established global organization.About Gartner:Gartner, Inc. (NYSE: IT) is the world’s leading information technology research and advisory company. We deliver the technology-related insight necessary for our clients to make the right decisions, every day. We work with every client to research, analyze and interpret the business of IT within the context of their individual role. Founded in 1979, Gartner is headquartered in Stamford, Connecticut, U.S.A – Visit gartner.com to learn more.Diversity, inclusion and engagement at Gartner:The policy of Gartner is to provide equal employment opportunities to all applicants and employees without regard to race, color, caste, creed, religion, sex, sexual orientation, gender identity or expression, marital status, citizenship status, age, national origin, ancestry, disability, or any other characteristic protected by applicable law. Gartner affirmatively seeks to advance the principles of equal employment opportunity and values diversity and inclusion.Gartner is an Equal Opportunity Employer and offers opportunities to all job seekers, including job seekers with disabilities. If you are a qualified applicant with a disability and unable to or limited in your ability to use or access the Gartner’s career webpage as a result of your disability, you may request reasonable accommodations by calling Human Resources at +1203-964-0096 or by sending an email to Applicant.Assistance@gartner.comWho are we?At Gartner, Inc. (NYSE:IT), we guide the leaders who shape the world.Our mission relies on expert analysis and bold ideas to deliver actionable, objective business and technology insights, helping enterprise leaders and their teams succeed with their mission-critical priorities.Since our founding in 1979, we’ve grown to 21,000 associates globally who support ~14,000 client enterprises in ~90 countries and territories. We do important, interesting and substantive work that matters. That’s why we hire associates with the intellectual curiosity, energy and drive to want to make a difference. The bar is unapologetically high. So is the impact you can have here.What makes Gartner a great place to work?Our vast, virtually untapped market potential offers limitless opportunities – opportunities that may not even exist right now – for you to grow professionally and flourish personally. How far you go is driven by your passion and performance.We hire remarkable people who collaborate and win as a team. Together, our singular, unifying goal is to deliver results for our clients.Our teams are inclusive and composed of individuals from different geographies, cultures, religions, ethnicities, races, genders, sexual orientations, abilities and generations.We invest in great leaders who bring out the best in you and the company, enabling us to multiply our impact and results. This is why, year after year, we are recognized worldwide as a great place to work.What do we offer?Gartner offers world-class benefits, highly competitive compensation and disproportionate rewards for top performers.In our hybrid work environment, we provide the flexibility and support for you to thrive — working virtually when it's productive to do so and getting together with colleagues in a vibrant community that is purposeful, engaging and inspiring.Ready to grow your career with Gartner? Join us.Gartner believes in fair and equitable pay. A reasonable estimate of the base salary range for this role is 98,000 USD - 133,000 USD. Please note that actual salaries may vary within the range, or be above or below the range, based on factors including, but not limited to, education, training, experience, professional achievement, business need, and location. In addition to base salary, employees will participate in either an annual bonus plan based on company and individual performance, or a role-based, uncapped sales incentive plan. Our talent acquisition team will provide the specific opportunity on our bonus or incentive programs to eligible candidates. We also offer market leading benefit programs including generous PTO, a 401k match up to $7,200 per year, the opportunity to purchase company stock at a discount, and more.The policy of Gartner is to provide equal employment opportunities to all applicants and employees without regard to race, color, creed, religion, sex, sexual orientation, gender identity, marital status, citizenship status, age, national origin, ancestry, disability, veteran status, or any other legally protected status and to seek to advance the principles of equal employment opportunity.Gartner is committed to being an Equal Opportunity Employer and offers opportunities to all job seekers, including job seekers with disabilities. If you are a qualified individual with a disability or a disabled veteran, you may request a reasonable accommodation if you are unable or limited in your ability to use or access the Company’s career webpage as a result of your disability. You may request reasonable accommodations by calling Human Resources at +1 (203) 964-0096 or by sending an email to ApplicantAccommodations@gartner.com.Job Requisition ID:106172By submitting your information and application, you confirm that you have read and agree to the country or regional recruitment notice linked below applicable to your place of residence.Gartner Applicant Privacy Link: https://jobs.gartner.com/applicant-privacy-policyFor efficient navigation through the application, please only use the back button within the application, not the back arrow within your browser.","https://www.linkedin.com/jobs/view/data-scientist-at-gartner-4344576100?position=5&pageNum=0&refId=oNqv25NdCnLTzFIW4s02BQ%3D%3D&trackingId=AGQS5EKCUjT9lEomhRh1Sw%3D%3D","LinkedIn"
"Data Scientist - Dallas","Merit Advisors, LLC","Dallas, TX","N/A","N/A","What Gives Us PurposeMerit Advisors is a team of expert consultants committed to delivering exceptional customer service and adding value to our clients. We do so by crafting holistic solutions that improve cash flow and add profit back to the bottom line for our clients. With a record of accomplishment spanning over 25 years, Merit offers deep experience in the energy industries.What We SeekWe’re looking for a versatile and curious Data Scientist to join our team as our first hire in this function. This is a unique opportunity to shape how data is used across the organization—from driving insights and business decisions to building the foundation for future AI and machine learning initiatives.You’ll start by focusing on analytics, business intelligence, automation, and research, working closely with leadership to uncover insights and tell compelling stories with data. Over time, you’ll help us evolve toward more advanced machine learning and statistical modeling, supported by a strong data infrastructure and engineering team.What Your Day Will Look LikePartner with executive and business development teams to identify opportunities for data-driven decision-making.Analyze structured and unstructured data to uncover trends, patterns, and actionable insights.Build dashboards and reports using tools like Power BI to support business operations and strategy.Conduct exploratory data analysis and hypothesis testing to support strategic initiatives.Collaborate with analysts and engineers to ensure data quality and accessibility.Contribute to the development of predictive models and machine learning solutions as the company’s data maturity grows.Communicate findings clearly and effectively to both technical and non-technical stakeholders.Stay current with emerging tools, techniques, and best practices in data science and AI.You’re perfect for this role if you:Proficiency in Python and SQL for data analysis and scripting.Experience with Power BI or similar BI tools.Strong analytical thinking and problem-solving skills.Excellent communication and storytelling abilities.Ability to work independently and collaboratively in a fast-paced environment.Growth mindset and willingness to learn new tools and techniques.Exposure to AWS cloud services.Preferred (Nice to Have):Familiarity with SQL Mesh or similar data orchestration tools.Familiarity with AI Coding Tools such as Claude Code, Cursor, Windsurf, or similar.Basic understanding of machine learning concepts (e.g., regression, classification, clustering).Experience with statistical analysis (e.g., hypothesis testing, A/B testing).Knowledge of version control (e.g., Git) and collaborative development practices.What You Bring:Bachelor’s degree (B.S.) in Computer Science, Statistics, Mathematics, Data Science, Management Information Systems, and or Engineering, or other equivalent degrees from a top four-year college or universityMinimum 3-5 years of experience is preferredMaster's is optionalWhat We ProvideAt Merit, we ask a lot of our employees, which is why we give so much in return. In addition to your competitive salary, PTO program, medical/dental/vision plan, and matching 401(k), you’ll enjoy company-sponsored events, continuous learning opportunities, and the flexibility to manage your work/life balance.","https://www.linkedin.com/jobs/view/data-scientist-dallas-at-merit-advisors-llc-4387035167?position=6&pageNum=0&refId=oNqv25NdCnLTzFIW4s02BQ%3D%3D&trackingId=44Tlul40LC%2Bz0NkCiberMg%3D%3D","LinkedIn"
"Research Data Scientist, Operations Data Science","Google","Addison, TX","N/A","N/A","The application window will be open until at least April 23, 2026. This opportunity will remain online based on business needs which may be before or after the specified date.Note: By applying to this position you will have an opportunity to share your preferred working location from the following:Austin, TX, USA; Atlanta, GA, USA; Thornton, CO, USA; Addison, TX, USA.Minimum qualifications:Master's degree in Statistics, Data Science, Mathematics, Physics, Economics, Operations Research, Engineering, or a related quantitative field.3 years of work experience using analytics to solve product or business problems, coding (e.g., Python, R, SQL), querying databases or statistical analysis, or a PhD degree.Preferred qualifications:5 years of work experience using analytics to solve product or business problems, coding (e.g., Python, R, SQL), querying databases or statistical analysis, or a PhD degree.About The JobOperations Data Science (ODS) is a team of analysts who support data-driven decisions to scale capacity optimally for all of Google. Within ODS our forecasting and capacity planning functions span Resource Efficiency Data Science (forecasting and planning models for product area capacity planning) and Fleet Forecasting (machines and long-term busy power forecasting). Our goal is to develop tools to support self-driving automation of fleet capacity planning through smart location-specific predictive analytics of resource capacity requirements.You will contribute to the development of critical forecasting and capacity planning tools for Google, as well as other resource efficiency initiatives. Through this work you will not only help Google run as efficiently as possible, but you will also help us to advance the state of the art in statistical forecasting for resource planning.As a member of the Resource Efficiency Data Science team, you will apply operations research and statistical methods to solve challenges related to compute, storage, network, and data center capacity for both Google’s internal services and Google Cloud Platform. You will work broadly across Google’s Platforms Engineering, Systems Infrastructure, and Site Reliability Engineering teams to optimize our deployment of resources and drive innovation in our software stack, allowing for efficient use of resources.The US base salary range for this full-time position is $147,000-$211,000 + bonus + equity + benefits. Our salary ranges are determined by role, level, and location. Within the range, individual pay is determined by work location and additional factors, including job-related skills, experience, and relevant education or training. Your recruiter can share more about the specific salary range for your preferred location during the hiring process.Please note that the compensation details listed in US role postings reflect the base salary only, and do not include bonus, equity, or benefits. Learn more about benefits at Google .ResponsibilitiesDevelop, maintain, support, and enhance custom forecasting and capacity planning tools for Google product area resource planning.Lead projects with analysis and modeling, drawing from multiple analytical methods to choose the right tool and right level of complexity appropriate for the business challenges.Engage broadly with the organization to identify, prioritize, frame, and structure complex and ambiguous challenges, where advanced analytics projects or tools can have the biggest impact. Identify and communicate the challenges and opportunities that the group should be working on.Help define the analytical direction and influence the direction of the associated engineering and infrastructure work.Articulate business questions and use mathematical techniques to arrive at an answer using data. Translate analysis results into business recommendations.Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing our Accommodations for Applicants form .","https://www.linkedin.com/jobs/view/research-data-scientist-operations-data-science-at-google-4399665093?position=7&pageNum=0&refId=oNqv25NdCnLTzFIW4s02BQ%3D%3D&trackingId=s7TUScx%2FemsAJ7yC6QZi5A%3D%3D","LinkedIn"
"Data Scientist","Cinemark","Plano, TX","N/A","N/A","Join Our TeamAs part of our Cinemark Universe, you'll discover fun opportunities with real growth potential and plenty of perks. With 500+ theatres and nearly 6,000 screens; we're truly a global presence of 20,000 movie lovers working together to make unforgettable experiences.Role SummaryAs part of the Data Science group, which is the advanced analytics service arm for Cinemark, the Data Scientist is responsible for development and application of analytic methods for solving business problems and deriving consumer and business insight. The Data Scientist has an enterprise focus supporting the key business objectives and core business functions of the organization.The highest priority requirement of a Data Scientist is curiosity and personal drive to over-deliver on internal stakeholders’ needs for analysis and insight. The Data Scientist will have open access to all forms of enterprise data and scope of work covers basic to advanced numerical methods including modeling and simulation. Regression, classification, optimization and machine learning all potentially play a role in this function. This is truly an amazing opportunity to be on the ground floor of designing and building the decision sciences competency for a multi-billion-dollar entertainment operation.ResponsibilitiesDesign, optimize, and automate end-to-end pricing implementation workflows to reduce manual effort, improve speed-to-market, and ensure pricing accuracy across systems and channelsDevelop and implement analytical solutions using established numerical and statistical methods, including predictive modeling, segmentation, optimization techniques, and basic machine learning, to support pricing processes.Apply statistical best practices by understanding data limitations, variance, and uncertainty, and ensuring analyses and automated outputs are appropriately validated.Perform work and analysis for a ‘multi-channel’ environment applying analytics to online and offline environments.Research and develop new forms of analytic methods applicable to relevant business objectives.Duties and responsibilities include but are not limited to consumer insights including all relevant customer behavior analysis, product and promotion testing, real estate, concessions (merchandise) performance and allocation.Produce compiled data, reports and ‘visualized’ results for all levels of the organization.RequirementsMS in Statistics, Math, Engineering, Computer Science, Operation Research or related degree with 3-5 years’ experience3+ years of hands-on experience and proficiency with the following areasComputational Programming with Python including packages such as Pandas, scikit-learn, PytorchStatistical ModelingKnowledge of Classification Systems, Recommendation Systems, Predictive ModelingObjective evidence of advanced SQL capability, querying large, complex datasets using relational databasesProven analytical capability with intermediate to advanced knowledge of statistics as it relates to all aspects of data set analysis including error, experimental designExperience in working with customer data in a retail/entertainment business environment preferred.Visualization tools experience, Power BI preferredStrong data interpretation, visualization and presentation skillsAbility to explain statistical approaches/models used, rationale/merits of different approaches, results and interpretation to team membersAble to work effectively in a collaborative team environmentFamiliarity with machine learningIntellectually curious / quick thinkerWillingness / ability to take ownership as technical lead of a projectBenefits AvailableAt Cinemark, we believe every team member should feel like a hero. Each career comes with a variety of blockbuster benefits for both hourly and salaried team members.Employee Discount401(k) Matching*Growth OpportunitiesEducation Assistance*Health Benefits*Parental Leave*Paid Time Off*Daily Pay*Free Movies*Benefits may vary by career category, so be sure to check the specific details on our career site.DISCLAIMER: This job description is intended only as a general guideline of your duties and responsibilities at Cinemark and is not a legally binding contract. Cinemark reserves the right to amend, change or terminate the job description, as it deems appropriate. Any change amendments, or modifications may be implemented even though they have not been communicated, reprinted or substituted in this job description.Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.Cinemark is an Equal Opportunity Employer","https://www.linkedin.com/jobs/view/data-scientist-at-cinemark-4386514273?position=8&pageNum=0&refId=oNqv25NdCnLTzFIW4s02BQ%3D%3D&trackingId=gspJ1OIKpBA3BmK5IlkOAA%3D%3D","LinkedIn"
"Data Science Analyst","American Heart Association","Dallas, TX","N/A","N/A","OverviewSince our founding in 1924, we've cut cardiovascular disease deaths in half, but there is still so much more to do. To overcome today’s biggest health challenges and accelerate this progress, we need passionate individuals like you. Join our movement, be part of the progress, and help ensure a healthier future for all. You matter, and so does the impact you can make with us.TheAmerican Heart Associationhas an excellent opportunity for aData Science Analystin ourNational Centeroffice located inDallas, TX. (Home-based work is available)This is a fixed-term position with funding through 6/30/2027. Funding likely to extendThe Data Science Analyst designs, maps, builds, tests, and implements solutions for the migration of data from operational and transactional source systems to different platforms. Analyzes methods such as ETL (Extract, Transform and Load) software tools for transforming existing data into different formats and loading data into other database structures. Develops plans and secures resources to support data migration projects. Reviews existing migration tools and provides recommendations for improving the efficiency of the migration process. Defines, documents and enhances data migration templates, procedures and tools.The Association offers many resources to help you maintain work-life harmonization through your changing needs and life situations. To help you be successful, you will have access to Heart U, our award-winning corporate university, as well as additional training and support, locally.\#TheAHALife is more than a company culture; it is our way of life. It embodies our commitment to work-life harmonization and is guided by our core values where our employees can thrive both personally and professionally. Discover why you will Be Seen. Be Heard. Be Valued at the American Heart Association by following us on LinkedIn, Instagram, Facebook, X, and at heart.jobs.ResponsibilitiesDesigns and implements data pipelines and architectures for efficient data collection, transformation, loading (ETL), and data management across various platforms.Develops standalone applications for data visualization and analysis, enabling better data accessibility and insights for research teams. Implements pipelines for data documentation.Works as a part of a dynamic team of biomedical researchers, database designers, data scientists, statisticians, software developers, and clinical data experts in existing research projects to support the data pipelines, database management, and creation of new tools. Supports team in the delivery of external grants by providing data science expertise.Collaborates with data scientists and statisticians to understand their data requirements and build systems that streamline data workflow and support advanced analytics. Helps query real-world patient registry data to address important research questions.Understands data integrity, security, and compliance with healthcare regulations in all data operations and applications.Maintains comprehensive documentation of data solutions, processes, best practices, and actively shares knowledge with the team. Helps organize interactive data bootcamps and webinars to help users work in the platform.Stay updated with the latest technologies in data engineering, analytics, and data governance, evaluate new tools and techniques, and propose innovative solutions to enhance data systems, processes, and governance practices _._QualificationsRequires a degree or equivalent experienceRequires 3 years minimum prior relevant experienceRequired Skills:Analytical Thinking; Attention to Detail; Business Intelligence (BI); Collaboration; Consulting; Data Analysis; Data Analytics; Data Architecture; Data Governance; Data Management; Data Science; Data Security; Effective Communication; Extract, Transform, Load (ETL); Initiative; Innovation; Problem Solving; Programming (Python, R); Structured Query Language (SQL); Time ManagementCompensation & BenefitsThe expected pay range will be $85,000 - $95,000. Pay is commensurate with experience; geographic differentials to the pay range may apply. The American Heart Association reserves the right to pay more or less than the posted range. The American Heart Association invests in its people. Here are the main components of our total rewards package. Visit Rewards & Benefits to see more details.Compensation – Our goal is to ensure you have a competitive base salary. That’s why we regularly review the market value of jobs and make adjustments, as needed.Performance and Recognition – You are rewarded for achieving success by merit increases and incentive programs; based on type of positionBenefits – We offer a wide array of benefits including medical, dental, vision, disability, and life insurance, along with a robust retirement program that includes an employer match and automatic contribution. As a mark of our commitment to employee well-being, we also offer an employee assistance program, employee wellness program and telemedicine, and medical consultation.Professional Development – You can join one of our many Employee Resource Groups (ERG) or be a mentor/mentee in our professional mentoring program. HeartU is the Association’s national online university, with more than 100,000 resources designed to meet your needs and busy schedule.Work-Life Harmonization – The Association offers Paid Time Off (PTO) at a minimum of 16 days per year for new employees. The number of days will increase based on seniority level. You will also have a total of 12 paid holidays off each year, which includes several days off at the end of the year.Tuition Assistance - We support the career development of all employees. This program provides financial assistance to employees who wish to further their education and career in relation to their current duties and responsibilities, or for potential future positions in the organization.The American Heart Association’s 2028 Goal: Building on over 100 years of trusted leadership in cardiovascular and brain health, by 2028 the Association will drive breakthroughs and implement proven solutions in science, policy, and care for healthier people and communities. The greatest discoveries in health must reach everyone where they are.At American Heart Association | American Stroke Association, our mission is to be a relentless force for a world of longer, healthier lives, regardless of race, ethnicity, gender, gender identity, religion, age, language, sexual orientation, national origin and physical or cognitive abilities.This position not a match with your skills?Click here to see other opportunities.In accordance with local and state laws where applicable, qualified applicants with arrest or conviction records will be considered for employment.EOE/Protected Veterans/Persons with Disabilities\#AHAIND3,Join our Talent Community!Join our Talent Community to receive updates on new opportunities and future events.Default: Location : LocationUS-TX-DallasPosted Date2 months ago(2/20/2026 10:20 AM)Requisition ID2026-17019Job CategoryScience & ResearchPosition TypeFull Time","https://www.linkedin.com/jobs/view/data-science-analyst-at-american-heart-association-4390306278?position=9&pageNum=0&refId=oNqv25NdCnLTzFIW4s02BQ%3D%3D&trackingId=2TBINppCsRhlNPqQg1Z4%2Bw%3D%3D","LinkedIn"
"Data Scientist- Full Time","Maveric Systems Limited","Irving, TX","N/A","N/A","Job Title- Data ScientistJob Type - Full TimeLocation- Irving, TXExperience Required- 8+Key ResponsibilitiesCollect, clean, and preprocess structured and unstructured data from multiple sourcesAnalyze large datasets to identify trends, patterns, and correlationsDevelop predictive and statistical models using machine learning techniquesBuild and deploy data-driven solutions to solve business problemsCreate data visualizations and dashboards to communicate insights clearlyCollaborate with cross-functional teams including business, IT, and product teamsValidate models and ensure accuracy, reliability, and scalabilityDocument methodologies, models, and findings for stakeholdersStay updated with emerging data science tools, technologies, and best practices.Required SkillsStrong proficiency inPython or RExperience withSQLand relational databasesKnowledge ofmachine learning algorithms(e.g., regression, classification, clustering)Strong understanding ofstatistics and probabilityExperience with data visualization tools (Tableau, Power BI, Matplotlib, Seaborn, etc.)Ability to interpret complex data and present insights clearlyStrong problem-solving and analytical thinking skills","https://www.linkedin.com/jobs/view/data-scientist-full-time-at-maveric-systems-limited-4391878672?position=10&pageNum=0&refId=oNqv25NdCnLTzFIW4s02BQ%3D%3D&trackingId=d0MSxwMXlF5FDkuubsl2IQ%3D%3D","LinkedIn"
