"title","company","location","salary","work_type","date_posted","description","link"
"Entry Level Software Engineer","Emonics LLC","Dallas, TX","N/A","See Description","2026-04-07","Job Overview:  We are looking for an Entry Level Software Engineer to design, develop, and maintain scalable applications.    Responsibilities:    Write clean and efficient code    Debug and troubleshoot software issues    Participate in agile development cycles    Collaborate with cross-functional teams    Requirements:    Degree in Computer Science or related field    Knowledge of Java, Python, or C++    Understanding of SDLC 
 
 
 
        
            Show more
          

           
 
 
 
        
            Show less","https://www.linkedin.com/jobs/view/entry-level-software-engineer-at-emonics-llc-4395466083?position=1&pageNum=0&refId=OOnNTRIe5LYKh5aTY2hAWA%3D%3D&trackingId=O7iRYg7FZJPJCrwHJF5DOQ%3D%3D"
"Entry Level Software Engineer","Emonics LLC","Dallas, TX","N/A","See Description","2026-04-07","Job Overview:  Seeking an enthusiastic Software Engineer to develop reliable applications supporting enterprise systems.    Responsibilities:    Develop and test software applications    Maintain system documentation    Troubleshoot and fix bugs    Work in agile teams    Requirements:    Bachelor’s degree in Computer Science or related    Knowledge of object-oriented programming    Strong communication skills 
 
 
 
        
            Show more
          

           
 
 
 
        
            Show less","https://www.linkedin.com/jobs/view/entry-level-software-engineer-at-emonics-llc-4395450356?position=2&pageNum=0&refId=OOnNTRIe5LYKh5aTY2hAWA%3D%3D&trackingId=416wtwjnjX8Z8H9ltHXnXA%3D%3D"
"Software Engineer (Python)","Axelon Services Corporation","Irving, TX","N/A","See Description","2026-04-07","Pay Rate:  $67.00 - $71.00 Negotiable based upon years of experience Summary Location: Irving, TX Work Mode: Hybrid Responsibilities Design, architect, and implement robust Python-based solutions. Collaborate with global Technology Teams across different time zones in a hybrid work model. Adhere to Object-Oriented Programming (OOPS) principle-based development standards. Mentor and coach junior level developers. Drive resolutions of high-impact problems/projects through in-depth evaluation of complex business processes, system processes, and industry standards. Ensure application design adheres to the overall architecture blueprint. Utilize knowledge of system flow to develop standards for coding, testing, debugging, and implementation. Provide comprehensive in-depth analysis with interpretive thinking to define issues and develop innovative solutions. Implement Unit Testing and TDD to ensure software quality and maintainability. Assess risk when business decisions are made, demonstrating consideration for the firm's reputation and safeguarding its clients and assets by driving compliance with applicable laws, rules, and regulations. Requirements Bachelor's degree in Computer Science, Data Science, Statistics, Mathematics, Engineering, or related field. 3-5 years of experience with developing scalable and reliable machine learning systems for training, inference, monitoring, and iteration. Exposure to ML/DL/LLM algorithms, model architectures, and training techniques. Proficiency in Python and related modules (e.g., numpy, pandas). Proficiency utilizing LLMs. Ability to work independently and collaboratively within a team. Preferred Skills Experience in GenAI/LLMs projects. Familiarity with distributed data/computing tools (e.g., Hadoop, Hive, Spark, MySQL). Background in financial business-like banking, risk management. Experience with AI Dev tools such as Copilot. 
 
 
 
        
            Show more
          

           
 
 
 
        
            Show less","https://www.linkedin.com/jobs/view/software-engineer-python-at-axelon-services-corporation-4395451329?position=3&pageNum=0&refId=OOnNTRIe5LYKh5aTY2hAWA%3D%3D&trackingId=RCtKBp7mJvAt6nS4a8cE2g%3D%3D"
"Data Scientist","Persistent Systems","Dallas, TX","N/A","See Description","2026-03-26","About Persistent We are an AI-led, platform-driven Digital Engineering and Enterprise Modernization partner, combining deep technical expertise and industry experience to help our clients anticipate what’s next. Our offerings and proven solutions create a unique competitive advantage for our clients by giving them the power to see beyond and rise above. We work with many industry-leading organizations across the world, including 20 Fortune 50 companies and 4 of the 5 top banks in both the US and India, and numerous innovators across the healthcare ecosystem. Our disruptor’s mindset, commitment to client success, and agility to thrive in the dynamic environment have enabled us to sustain our growth momentum. Persistent has been recognized across top industry platforms for innovation, leadership, and inclusion. We have delivered 23 sequential quarters of growth with $422.5M in Q3 FY26 revenue, up 4.0% Q-o-Q and 17.3% Y-o-Y growth. Our 26,500+ global team members, located in 18 countries, have been instrumental in helping the market leaders transform their industries. We won the 2025 ISG Star of Excellence™ Award for AI and Data Excellence and were named a Leader in the Everest Group Talent Readiness for Next-generation Data, Analytics and AI Services PEAK Matrix® Assessment 2025. About Position Role:  Data Scientist Location:  Remote Experience:  8+ years Job Type:  Full Time Mandatory Skills:  Data Science, Python, NumPy, Pandas We are seeking an Data Scientist who is a problem solver, data expert, analyst, and communicator, who can create new algorithms from scratch. You have an advanced degree in a quantitative field, such as computer science, engineering, physics, statistics or applied mathematics, and have: Expertise You'll Bring Familiarity with statistical and data-mining techniques Strong knowledge of programming languages, with a focus on machine learning and advanced analytics (such as R, Python, and Scala) Experience working with large data sets and relational databases A collaborative spirit and the ability to communicate complex ideas effectively to both colleagues and clients Excellent problem-solving skills and the ability to analyze issues, identify causes, and recommend solutions quickly Benefits Competitive salary and benefits package Culture focused on talent development with quarterly promotion cycles and company-sponsored higher education and certifications Opportunity to work with cutting-edge technologies Employee engagement initiatives such as project parties, flexible work hours, and Long Service awards Annual health check-ups Insurance coverage: group term life, personal accident, and Mediclaim hospitalization for self, spouse, two children, and parents Our company fosters a values-driven and people-centric work environment that enables our employees to: Accelerate growth, both professionally and personally Impact the world in powerful, positive ways, using the latest technologies Enjoy collaborative innovation, with diversity and work-life wellbeing at the core Unlock global opportunities to work and learn with the industry’s best Let’s unleash your full potential at Persistent   - persistent.com/careers   For more details, please contact  Bharath Veluru (bharath_veluru@persistent.com) “Persistent is an Equal Opportunity Employer and prohibits discrimination and harassment of any kind.” 
 
 
 
        
            Show more
          

           
 
 
 
        
            Show less","https://www.linkedin.com/jobs/view/data-scientist-at-persistent-systems-4391941030?position=4&pageNum=0&refId=OOnNTRIe5LYKh5aTY2hAWA%3D%3D&trackingId=piYfBq41W20hkk3ZV4CzlQ%3D%3D"
"Data Scientist","Gartner","Irving, TX","N/A","See Description","2026-04-03","About This Role In Gartner’s Services Data Science team, we innovate the way our team helps clients receive value, so technology leaders will be able to make smarter decisions in a different way. We are searching for a talented data scientist to join our team. You will have access to the best facilities, technology and expertise within the industry and will work on challenging business problems. This is an excellent opportunity to be part of a new venture, in a start-up environment where you can truly develop your skill set and knowledge and bring impact to the team. What You’ll Do  Designing and implementing state of the art Large Language Model (LLM) based agents that seamlessly synthesize complex information and initiate important actions in a business workflow.   Using advanced Generative AI techniques deriving actionable insights from unstructured text data, such as call transcripts and emails.   Predicting client interest basis their digital footprint and making relevant recommendations to drive higher client value delivery  Leverage statistical and machine learning techniques to extract actionable insights from client retention data.   Develop customer churn prediction models that proactively identify at-risk clients,  Build tools to process structured and unstructured data  Engineering features and signals to train ML model from diverse data collection What You’ll Need  BS required/ MS/ preferred; in Computer Science or other technology, Math, Physics, Statistics or Economics (focus on Natural Language Processing, Information Retrieval a plus)  4 years’ experience in data science methodologies as applied to live initiatives or software development// Experience working with Gen AI projects  Minimum 4+ years of experience in python coding and statistical analysis  Minimum 2 years working experience in several of the following: Prompt Engineering and working with LLMs Machine Learning and statistical techniques Data mining and recommendation systems Natural Language Processing and Information Retrieval Experience working with large volumes of data User behavior modeling Who You Are  A team player. You get along well with your colleagues and are always ready to help get things done. You enjoy working on projects with multiple people and share knowledge.   Passionate about learning. You thrive on complex technical challenges and are always eager to learn the latest technologies.   Organized and detailed-oriented. You think ahead of time about how best to implement new features, and your code is clean, well-organized and properly documented.   Innovative. You are always proactively looking for opportunities to problem solve using innovative methods that impact the business What we offer  A collaborative, positive culture. You’ll work with people who are as enthusiastic, smart and driven as you are. You’ll be managed by the best too.   Limitless growth and learning opportunities. We offer the excitement of a fast-paced entrepreneurial workplace and the professional growth opportunities of an established global organization.  About Gartner: Gartner, Inc. (NYSE: IT) is the world’s leading information technology research and advisory company. We deliver the technology-related insight necessary for our clients to make the right decisions, every day. We work with every client to research, analyze and interpret the business of IT within the context of their individual role. Founded in 1979, Gartner is headquartered in Stamford, Connecticut, U.S.A – Visit gartner.com to learn more. Diversity, inclusion and engagement at Gartner: The policy of Gartner is to provide equal employment opportunities to all applicants and employees without regard to race, color, caste, creed, religion, sex, sexual orientation, gender identity or expression, marital status, citizenship status, age, national origin, ancestry, disability, or any other characteristic protected by applicable law. Gartner affirmatively seeks to advance the principles of equal employment opportunity and values diversity and inclusion. Gartner is an Equal Opportunity Employer and offers opportunities to all job seekers, including job seekers with disabilities. If you are a qualified applicant with a disability and unable to or limited in your ability to use or access the Gartner’s career webpage as a result of your disability, you may request reasonable accommodations by calling Human Resources at +1203-964-0096 or by sending an email to Applicant.Assistance@gartner.com Who are we?  At Gartner, Inc. (NYSE:IT), we guide the leaders who shape the world. Our mission relies on expert analysis and bold ideas to deliver actionable, objective business and technology insights, helping enterprise leaders and their teams succeed with their mission-critical priorities. Since our founding in 1979, we’ve grown to 21,000 associates globally who support ~14,000 client enterprises in ~90 countries and territories. We do important, interesting and substantive work that matters. That’s why we hire associates with the intellectual curiosity, energy and drive to want to make a difference. The bar is unapologetically high. So is the impact you can have here. What makes Gartner a great place to work?  Our vast, virtually untapped market potential offers limitless opportunities – opportunities that may not even exist right now – for you to grow professionally and flourish personally. How far you go is driven by your passion and performance. We hire remarkable people who collaborate and win as a team. Together, our singular, unifying goal is to deliver results for our clients. Our teams are inclusive and composed of individuals from different geographies, cultures, religions, ethnicities, races, genders, sexual orientations, abilities and generations. We invest in great leaders who bring out the best in you and the company, enabling us to multiply our impact and results. This is why, year after year, we are recognized worldwide as a great place to work. What do we offer?  Gartner offers world-class benefits, highly competitive compensation and disproportionate rewards for top performers. In our hybrid work environment, we provide the flexibility and support for you to thrive — working virtually when it's productive to do so and getting together with colleagues in a vibrant community that is purposeful, engaging and inspiring. Ready to grow your career with Gartner? Join us. Gartner believes in fair and equitable pay. A reasonable estimate of the base salary range for this role is 98,000 USD - 133,000 USD. Please note that actual salaries may vary within the range, or be above or below the range, based on factors including, but not limited to, education, training, experience, professional achievement, business need, and location. In addition to base salary, employees will participate in either an annual bonus plan based on company and individual performance, or a role-based, uncapped sales incentive plan. Our talent acquisition team will provide the specific opportunity on our bonus or incentive programs to eligible candidates. We also offer market leading benefit programs including generous PTO, a 401k match up to $7,200 per year, the opportunity to purchase company stock at a discount, and more. The policy of Gartner is to provide equal employment opportunities to all applicants and employees without regard to race, color, creed, religion, sex, sexual orientation, gender identity, marital status, citizenship status, age, national origin, ancestry, disability, veteran status, or any other legally protected status and to seek to advance the principles of equal employment opportunity. Gartner is committed to being an Equal Opportunity Employer and offers opportunities to all job seekers, including job seekers with disabilities. If you are a qualified individual with a disability or a disabled veteran, you may request a reasonable accommodation if you are unable or limited in your ability to use or access the Company’s career webpage as a result of your disability. You may request reasonable accommodations by calling Human Resources at +1 (203) 964-0096 or by sending an email to ApplicantAccommodations@gartner.com. Job Requisition ID:106172 By submitting your information and application, you confirm that you have read and agree to the country or regional recruitment notice linked below applicable to your place of residence. Gartner Applicant Privacy Link: https://jobs.gartner.com/applicant-privacy-policy For efficient navigation through the application, please only use the back button within the application, not the back arrow within your browser. 
 
 
 
        
            Show more
          

           
 
 
 
        
            Show less","https://www.linkedin.com/jobs/view/data-scientist-at-gartner-4344576100?position=5&pageNum=0&refId=OOnNTRIe5LYKh5aTY2hAWA%3D%3D&trackingId=%2BvtBoVqY%2FQLpMSnJpLmzyw%3D%3D"
"Data Scientist - Dallas","Merit Advisors, LLC","Dallas, TX","N/A","See Description","2026-03-23","What Gives Us Purpose Merit Advisors is a team of expert consultants committed to delivering exceptional customer service and adding value to our clients. We do so by crafting holistic solutions that improve cash flow and add profit back to the bottom line for our clients. With a record of accomplishment spanning over 25 years, Merit offers deep experience in the energy industries.  What We Seek We’re looking for a versatile and curious Data Scientist to join our team as our first hire in this function. This is a unique opportunity to shape how data is used across the organization—from driving insights and business decisions to building the foundation for future AI and machine learning initiatives.  You’ll start by focusing on analytics, business intelligence, automation, and research, working closely with leadership to uncover insights and tell compelling stories with data. Over time, you’ll help us evolve toward more advanced machine learning and statistical modeling, supported by a strong data infrastructure and engineering team.  What Your Day Will Look Like Partner with executive and business development teams to identify opportunities for data-driven decision-making.  Analyze structured and unstructured data to uncover trends, patterns, and actionable insights.  Build dashboards and reports using tools like Power BI to support business operations and strategy.  Conduct exploratory data analysis and hypothesis testing to support strategic initiatives.  Collaborate with analysts and engineers to ensure data quality and accessibility.  Contribute to the development of predictive models and machine learning solutions as the company’s data maturity grows.  Communicate findings clearly and effectively to both technical and non-technical stakeholders.  Stay current with emerging tools, techniques, and best practices in data science and AI.  You’re perfect for this role if you: Proficiency in Python and SQL for data analysis and scripting.  Experience with Power BI or similar BI tools.  Strong analytical thinking and problem-solving skills.  Excellent communication and storytelling abilities.  Ability to work independently and collaboratively in a fast-paced environment.  Growth mindset and willingness to learn new tools and techniques.  Exposure to AWS cloud services.  Preferred (Nice to Have) :  Familiarity with SQL Mesh or similar data orchestration tools.  Familiarity with AI Coding Tools such as Claude Code, Cursor, Windsurf, or similar.  Basic understanding of machine learning concepts (e.g., regression, classification, clustering).  Experience with statistical analysis (e.g., hypothesis testing, A/B testing).  Knowledge of version control (e.g., Git) and collaborative development practices.  What You Bring: Bachelor’s degree (B.S.) in Computer Science, Statistics, Mathematics, Data Science, Management Information Systems, and or Engineering, or other equivalent degrees from a top four-year college or university Minimum 3-5 years of experience is preferred Master's is optional What We Provide At Merit, we ask a lot of our employees, which is why we give so much in return. In addition to your competitive salary, PTO program, medical/dental/vision plan, and matching 401(k), you’ll enjoy company-sponsored events, continuous learning opportunities, and the flexibility to manage your work/life balance. 
 
 
 
        
            Show more
          

           
 
 
 
        
            Show less","https://www.linkedin.com/jobs/view/data-scientist-dallas-at-merit-advisors-llc-4387035167?position=6&pageNum=0&refId=OOnNTRIe5LYKh5aTY2hAWA%3D%3D&trackingId=QDxCIX6w9fZ%2Fbq2mOHp3VQ%3D%3D"
"Data Scientist","Cinemark","Plano, TX","N/A","See Description","2026-04-01","Join Our Team As part of our Cinemark Universe, you'll discover fun opportunities with real growth potential and plenty of perks. With 500+ theatres and nearly 6,000 screens; we're truly a global presence of 20,000 movie lovers working together to make unforgettable experiences. Role Summary As part of the Data Science group, which is the advanced analytics service arm for Cinemark, the Data Scientist is responsible for development and application of analytic methods for solving business problems and deriving consumer and business insight. The Data Scientist has an enterprise focus supporting the key business objectives and core business functions of the organization. The highest priority requirement of a Data Scientist is curiosity and personal drive to over-deliver on internal stakeholders’ needs for analysis and insight. The Data Scientist will have open access to all forms of enterprise data and scope of work covers basic to advanced numerical methods including modeling and simulation. Regression, classification, optimization and machine learning all potentially play a role in this function. This is truly an amazing opportunity to be on the ground floor of designing and building the decision sciences competency for a multi-billion-dollar entertainment operation. Responsibilities Design, optimize, and automate end-to-end pricing implementation workflows to reduce manual effort, improve speed-to-market, and ensure pricing accuracy across systems and channels  Develop and implement analytical solutions using established numerical and statistical methods, including predictive modeling, segmentation, optimization techniques, and basic machine learning, to support pricing processes.  Apply statistical best practices by understanding data limitations, variance, and uncertainty, and ensuring analyses and automated outputs are appropriately validated.  Perform work and analysis for a ‘multi-channel’ environment applying analytics to online and offline environments.  Research and develop new forms of analytic methods applicable to relevant business objectives.  Duties and responsibilities include but are not limited to consumer insights including all relevant customer behavior analysis, product and promotion testing, real estate, concessions (merchandise) performance and allocation.  Produce compiled data, reports and ‘visualized’ results for all levels of the organization.  Requirements MS in Statistics, Math, Engineering, Computer Science, Operation Research or related degree with 3-5 years’ experience  3+ years of hands-on experience and proficiency with the following areas Computational Programming with Python including packages such as Pandas, scikit-learn, Pytorch  Statistical Modeling  Knowledge of Classification Systems, Recommendation Systems, Predictive Modeling  Objective evidence of advanced SQL capability, querying large, complex datasets using relational databases  Proven analytical capability with intermediate to advanced knowledge of statistics as it relates to all aspects of data set analysis including error, experimental design  Experience in working with customer data in a retail/entertainment business environment preferred.  Visualization tools experience, Power BI preferred  Strong data interpretation, visualization and presentation skills  Ability to explain statistical approaches/models used, rationale/merits of different approaches, results and interpretation to team members  Able to work effectively in a collaborative team environment  Familiarity with machine learning  Intellectually curious / quick thinker  Willingness / ability to take ownership as technical lead of a project  Benefits Available At Cinemark, we believe every team member should feel like a hero. Each career comes with a variety of blockbuster benefits for both hourly and salaried team members. Employee Discount 401(k) Matching* Growth Opportunities Education Assistance* Health Benefits* Parental Leave* Paid Time Off* Daily Pay* Free Movies* Benefits may vary by career category, so be sure to check the specific details on our career site. DISCLAIMER: This job description is intended only as a general guideline of your duties and responsibilities at Cinemark and is not a legally binding contract. Cinemark reserves the right to amend, change or terminate the job description, as it deems appropriate. Any change amendments, or modifications may be implemented even though they have not been communicated, reprinted or substituted in this job description.  Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.  Cinemark is an Equal Opportunity Employer 
 
 
 
        
            Show more
          

           
 
 
 
        
            Show less","https://www.linkedin.com/jobs/view/data-scientist-at-cinemark-4386514273?position=7&pageNum=0&refId=OOnNTRIe5LYKh5aTY2hAWA%3D%3D&trackingId=YsxqbI0mc%2BmPtze6a7GnLA%3D%3D"
"Data Scientist","KellyMitchell Group","Irving, TX","N/A","See Description","2026-04-03","Job Summary:   Our client is seeking a Data Scientist to join their team! This position is located in Irving, Texas.     Duties: Build, evaluate, and deploy models to identify and target customer segments for personalized experiences and marketing Design, run, and analyze A/B tests and other online experiments to measure the impact of new features, campaigns, and product changes Research, prototype, and develop AI solutions for personalized systems and customer segmentation Design and analyze online controlled experiments (A/B tests) to validate hypotheses and measure business impact Build, deploy, and analyze AI solutions; perform statistical experiments when deploying new AI products Desired Skills/Experience: Bachelor’s Degree in Computer Science/Engineering/Math, or relevant experience 2+ years of experience with statistical data science techniques, feature engineering, and customer segmentation 2+ years of experience with SQL, PySpark, and Python 2+ years of experience training, evaluating, and deploying machine learning models 2+ years of experience productionizing and deploying ML workloads in AWS/Azure Experience working with MarTech platforms such as: CDPs, DMPs, ESPs and integrating data science into marketing workflows Benefits: Medical, Dental, & Vision Insurance Plans Employee-Owned Profit Sharing (ESOP) 401K offered The approximate pay range for this position starting at  $115,000-$128,000 . Please note that the pay range provided is a good faith estimate. Final compensation may vary based on factors including but not limited to background, knowledge, skills, and location. We comply with local wage minimums. At KellyMitchell, our culture is world class. We’re movers and shakers! We don’t mind a bit of friendly competition, and we reward hard work with unlimited potential for growth. This is an exciting opportunity to join a company known for innovative solutions and unsurpassed customer service. We're passionate about helping companies solve their biggest IT staffing & project solutions challenges. As an employee-owned, women-led organization serving Fortune 500 companies nationwide, we deliver expert service at a moment's notice. By applying for this job, you agree to receive calls, AI-generated calls, text messages, or emails from KellyMitchell and its affiliates, and contracted partners. Frequency varies for text messages. Message and data rates may apply. Carriers are not liable for delayed or undelivered messages. You can reply STOP to cancel and HELP for help. You can access our privacy policy at https://www.careers.kellymitchell.com/privacy-policy                                
         
 
 
        
            Show more
          

           
 
 
 
        
            Show less","https://www.linkedin.com/jobs/view/data-scientist-at-kellymitchell-group-4397306957?position=8&pageNum=0&refId=OOnNTRIe5LYKh5aTY2hAWA%3D%3D&trackingId=2Jzwi3cXs6s%2FW%2FbR0RRuNw%3D%3D"
"Data Science Analyst","American Heart Association","Dallas, TX","N/A","See Description","2026-03-25","Overview Since our founding in 1924, we've cut cardiovascular disease deaths in half, but there is still so much more to do. To overcome today’s biggest health challenges and accelerate this progress, we need passionate individuals like you. Join our movement, be part of the progress, and help ensure a healthier future for all. You matter, and so does the impact you can make with us. The  American Heart Association  has an excellent opportunity for a  Data Science Analyst  in our  National Center  office located in  Dallas, TX. (Home-based work is available) This is a fixed-term position with funding through 6/30/2027. Funding likely to extend The Data Science Analyst designs, maps, builds, tests, and implements solutions for the migration of data from operational and transactional source systems to different platforms. Analyzes methods such as ETL (Extract, Transform and Load) software tools for transforming existing data into different formats and loading data into other database structures. Develops plans and secures resources to support data migration projects. Reviews existing migration tools and provides recommendations for improving the efficiency of the migration process. Defines, documents and enhances data migration templates, procedures and tools. The Association offers many resources to help you maintain work-life harmonization through your changing needs and life situations. To help you be successful, you will have access to Heart U, our award-winning corporate university, as well as additional training and support, locally. \#TheAHALife is more than a company culture; it is our way of life. It embodies our commitment to work-life harmonization and is guided by our core values where our employees can thrive both personally and professionally. Discover why you will Be Seen. Be Heard. Be Valued at the American Heart Association by following us on LinkedIn, Instagram, Facebook, X, and at heart.jobs. Responsibilities Designs and implements data pipelines and architectures for efficient data collection, transformation, loading (ETL), and data management across various platforms. Develops standalone applications for data visualization and analysis, enabling better data accessibility and insights for research teams. Implements pipelines for data documentation. Works as a part of a dynamic team of biomedical researchers, database designers, data scientists, statisticians, software developers, and clinical data experts in existing research projects to support the data pipelines, database management, and creation of new tools. Supports team in the delivery of external grants by providing data science expertise. Collaborates with data scientists and statisticians to understand their data requirements and build systems that streamline data workflow and support advanced analytics. Helps query real-world patient registry data to address important research questions. Understands data integrity, security, and compliance with healthcare regulations in all data operations and applications. Maintains comprehensive documentation of data solutions, processes, best practices, and actively shares knowledge with the team. Helps organize interactive data bootcamps and webinars to help users work in the platform. Stay updated with the latest technologies in data engineering, analytics, and data governance, evaluate new tools and techniques, and propose innovative solutions to enhance data systems, processes, and governance practices _._ Qualifications Requires a degree or equivalent experience Requires 3 years minimum prior relevant experience Required Skills: Analytical Thinking; Attention to Detail; Business Intelligence (BI); Collaboration; Consulting; Data Analysis; Data Analytics; Data Architecture; Data Governance; Data Management; Data Science; Data Security; Effective Communication; Extract, Transform, Load (ETL); Initiative; Innovation; Problem Solving; Programming (Python, R); Structured Query Language (SQL); Time Management Compensation & Benefits The expected pay range will be $85,000 - $95,000. Pay is commensurate with experience; geographic differentials to the pay range may apply. The American Heart Association reserves the right to pay more or less than the posted range. The American Heart Association invests in its people. Here are the main components of our total rewards package. Visit Rewards & Benefits to see more details. Compensation – Our goal is to ensure you have a competitive base salary. That’s why we regularly review the market value of jobs and make adjustments, as needed. Performance and Recognition – You are rewarded for achieving success by merit increases and incentive programs; based on type of position Benefits – We offer a wide array of benefits including medical, dental, vision, disability, and life insurance, along with a robust retirement program that includes an employer match and automatic contribution. As a mark of our commitment to employee well-being, we also offer an employee assistance program, employee wellness program and telemedicine, and medical consultation. Professional Development – You can join one of our many Employee Resource Groups (ERG) or be a mentor/mentee in our professional mentoring program. HeartU is the Association’s national online university, with more than 100,000 resources designed to meet your needs and busy schedule. Work-Life Harmonization – The Association offers Paid Time Off (PTO) at a minimum of 16 days per year for new employees. The number of days will increase based on seniority level. You will also have a total of 12 paid holidays off each year, which includes several days off at the end of the year. Tuition Assistance - We support the career development of all employees. This program provides financial assistance to employees who wish to further their education and career in relation to their current duties and responsibilities, or for potential future positions in the organization. The American Heart Association’s 2028 Goal: Building on over 100 years of trusted leadership in cardiovascular and brain health, by 2028 the Association will drive breakthroughs and implement proven solutions in science, policy, and care for healthier people and communities. The greatest discoveries in health must reach everyone where they are. At American Heart Association | American Stroke Association, our mission is to be a relentless force for a world of longer, healthier lives, regardless of race, ethnicity, gender, gender identity, religion, age, language, sexual orientation, national origin and physical or cognitive abilities. This position not a match with your skills?  Click here to see other opportunities. In accordance with local and state laws where applicable, qualified applicants with arrest or conviction records will be considered for employment. EOE/Protected Veterans/Persons with Disabilities \#AHAIND3, Join our Talent Community! Join our Talent Community to receive updates on new opportunities and future events. Default: Location : Location   US-TX-Dallas Posted Date   2 months ago   (2/20/2026 10:20 AM) Requisition ID   2026-17019 Job Category   Science & Research Position Type   Full Time 
 
 
 
        
            Show more
          

           
 
 
 
        
            Show less","https://www.linkedin.com/jobs/view/data-science-analyst-at-american-heart-association-4390306278?position=9&pageNum=0&refId=OOnNTRIe5LYKh5aTY2hAWA%3D%3D&trackingId=Ig%2Bv6RCaZ1cy4RRDgCSOIA%3D%3D"
"Data Scientist- Full Time","Maveric Systems Limited","Irving, TX","N/A","See Description","2026-03-30","Job Title- Data Scientist Job Type - Full Time Location- Irving, TX Experience Required- 8+ Key Responsibilities Collect, clean, and preprocess structured and unstructured data from multiple sources Analyze large datasets to identify trends, patterns, and correlations Develop predictive and statistical models using machine learning techniques Build and deploy data-driven solutions to solve business problems Create data visualizations and dashboards to communicate insights clearly Collaborate with cross-functional teams including business, IT, and product teams Validate models and ensure accuracy, reliability, and scalability Document methodologies, models, and findings for stakeholders Stay updated with emerging data science tools, technologies, and best practices. Required Skills Strong proficiency in  Python or R Experience with  SQL  and relational databases Knowledge of  machine learning algorithms  (e.g., regression, classification, clustering) Strong understanding of  statistics and probability Experience with data visualization tools (Tableau, Power BI, Matplotlib, Seaborn, etc.) Ability to interpret complex data and present insights clearly Strong problem-solving and analytical thinking skills 
 
 
 
        
            Show more
          

           
 
 
 
        
            Show less","https://www.linkedin.com/jobs/view/data-scientist-full-time-at-maveric-systems-limited-4391878672?position=10&pageNum=0&refId=OOnNTRIe5LYKh5aTY2hAWA%3D%3D&trackingId=T5fkjPD%2FmEZdo69WAkJu2g%3D%3D"
